"strain","volume","E_resp","B0_resp","E_D_resp","Tpk_resp","Ppk_resp","r_sq_resp","n_temps","temps_before_peak_resp","temps_after_peak_resp","Phylum","Class","Order","Family","Genus","Species","iso_temp","incu_temp","E_growth","B0_growth","E_D_growth","Tpk_growth","Ppk_growth","temps_before_peak_growth","temps_after_peak_growth","r_sq_growth","Aero_anaero"
"04_04_02",0.152393831817675,0.64563403234547,0.346190087896214,21.8541803964088,302.033705757254,3.45307965678272,0.941693047362267,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","4",4,0.796831620453873,0.0182609064040821,8.70998150093493,299.970833537715,0.308169492334536,7,1,0.840628597519505,"Aerobic"
"04_04_04",0.140117825062316,0.582897369745579,0.0997354441007436,58.0750929278127,297.718706134626,0.682551632423116,0.888109855759581,7,6,1,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","sp.","4",4,0.615790571735008,0.0259413730984596,7.84096082986458,294.899812440818,0.161667370233742,5,2,0.449838577752152,"Aerobic"
"04_04_06",0.146722546358024,1.26033990766635,0.0396073634930872,27.9809204403446,301.718364521999,3.52947258573549,0.81090031861374,7,6,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","4",4,1.33469880213776,0.00169706113015105,24.5536323756315,301.618892816692,0.197094862506664,6,1,0.763055628861939,"Aerobic"
"04_RT_02",0.165428897746661,0.860605316748292,0.329930436206876,1.80371661823987,298.143751686403,3.69825527016856,0.851133213016284,8,6,2,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",4,1.47421162365209,0.00320784272488694,5.08245617858479,296.498225538427,0.314099402850057,6,2,0.806643669967342,"Aerobic"
"04_RT_05",0.164051571428356,0.953962345090919,0.290734258418478,1.81458292971216,301.01247751049,5.69990677414816,0.929869339563249,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",4,1.23048564234027,0.0160491639725391,1.62491944475843,300.14627181574,0.421819028813563,7,1,0.847243376172164,"Aerobic"
"10_10_06",0.758134943930558,0.645575533285288,0.0373588144319415,25.8872327128249,302.183340038421,0.372558748168884,0.832220080832465,8,7,1,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","sp.","10",10,0.833812478321253,0.035339461854921,1.77765167324574,295.239140430299,0.264163890611721,5,3,0.458201495819115,"Aerobic"
"10_RT_01",0.186265705764984,1.17816484473518,0.338309792764951,1.19091627447498,318.033493929547,4.01370621584026,0.90970776916295,8,8,0,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",10,1.55135270657279,0.00147971299981433,6.5278614632022,299.721566632964,0.343574037397013,7,1,0.874436173116741,"Aerobic"
"10_RT_02",0.185655831393778,0.842612805709206,0.27133602443517,1.98659449648843,299.969045671022,3.73721105594441,0.893020904609868,8,7,1,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","RT",10,1.68142814268466,0.00164314016101218,4.16146868119977,298.8404456408,0.44757310123112,7,1,0.86658664570468,"Aerobic"
"21_21_02",0.207765909625514,0.755689192511344,0.139280133689305,2.89177270101279,295.171394055071,1.11298016340099,0.818706255795729,8,5,3,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","21",21,0.700155506192075,0.0412431267410792,5.13129055401377,298.132771830146,0.430722605255968,6,2,0.712424192964722,"Aerobic"
"21_21_04",0.162103173536285,0.695430180175612,0.0518249384470071,24.0801987881391,301.689331694562,0.61726670713261,0.931770001024017,8,7,1,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas","sp.","21",21,0.950109085874615,0.0237501517429341,3.60232891740179,295.177192063634,0.347866313815866,5,3,0.800971366975433,"Aerobic"
"21_21_06",0.208438793050665,1.08031377489547,0.0881651929223335,2.87222178981246,294.171481756484,1.46156028414195,0.759603929242703,8,5,3,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","sp.","21",21,1.10267478445752,0.0128268356905376,3.94216977852755,295.129917865287,0.295217390989646,5,3,0.818320777169025,"Aerobic"
"21_RT_02",13.2540857753643,0.848514147687943,0.0254856443969853,2.46770712174514,310.756044763833,1.23666820511205,0.818950187192095,6,4,2,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","megaterium","RT",21,1.40472424814447,0.0127609696820599,1.67432299035155,299.905140111327,0.417258047980146,2,4,0.557194595717081,"Aerobic"
"21_RT_03",0.195031496972357,1.12414910711374,0.0310786896119552,26.0929139082768,301.884423401697,1.70486136149274,0.919593046004541,6,5,1,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","sp.","RT",21,1.23476695661707,0.00562334842287383,5.72579065597514,299.359596475478,0.411496746245228,5,1,0.880628962585977,"Aerobic"
"21_RT_05",1.32047201338976,1.4639708764858,0.0193181981466757,1.46682595027716,323.35879285413,0.556986753811127,0.914807614806142,8,8,0,"Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","sp.","RT",21,1.37673655339579,0.00206014872773,2.86402482996812,299.865881263236,0.186630734014696,6,1,0.728838746099764,"Aerobic"
"30_30_08",0.187894444124988,0.856416272026323,0.0145053067259006,24.8562960920508,301.936215617585,0.306570680726418,0.930654788225287,4,3,1,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Labrys","methylaminiphilus","30",30,0.688977262798394,0.0218025445006464,6.19672603593862,299.190299978962,0.24076076557644,3,1,0.922241991351311,"Aerobic"
